HRR	Total Hospital Beds	Total ICU Beds	Available Hospital Beds	Potentially Available Hospital Beds*	Available ICU Beds	Potentially Available ICU Beds*	Adult Population	Population 65+
Abilene, TX	980	127	565	772	68	98	226,444	50,412
Akron, OH	1,358	186	518	938	94	140	547,990	111,042
Alameda County, CA	2,695	293	665	1,680	139	216	1,310,189	214,991
Albany, GA	704	60	221	462	27	43	157,143	30,466
Albany, NY	4,804	425	1,579	3,191	193	309	1,477,723	318,695
Albuquerque, NM	2,908	380	1,102	2,005	161	270	1,336,795	279,457
Alexandria, LA	917	43	402	660	20	31	221,597	44,519
Allentown, PA	3,267	334	1,267	2,267	143	238	960,572	207,376
Altoona, PA	555	61	234	394	27	44	234,560	56,483
Amarillo, TX	1,236	194	678	957	79	137	332,671	61,267
Anchorage, AK	1,583	130	533	1,058	55	93	551,912	74,327
Ann Arbor, MI	3,014	406	876	1,945	122	264	1,115,589	209,105
Appleton, WI	448	72	222	335	37	54	254,546	52,373
Arlington, VA	3,116	450	995	2,055	173	312	1,909,537	270,129
Asheville, NC	1,541	232	556	1,048	76	154	553,131	146,572
Atlanta, GA	12,780	1,621	3,338	8,059	436	1,029	5,027,281	799,338
Augusta, GA	2,194	349	831	1,512	106	227	540,242	105,665
Aurora, IL	527	55	286	406	25	40	245,644	34,035
Austin, TX	2,775	393	1,003	1,889	161	277	1,523,446	208,426
Bakersfield, CA	2,429	191	692	1,561	88	140	847,115	123,309
Baltimore, MD	6,931	844	1,887	4,409	303	574	2,015,003	379,769
Bangor, ME	1,094	100	400	747	28	64	318,554	77,904
Baton Rouge, LA	2,898	249	1,159	2,028	119	184	746,856	127,072
Beaumont, TX	908	114	421	665	43	79	356,372	70,621
Bend, OR	415	38	182	298	17	27	189,876	47,299
Billings, MT	2,432	148	931	1,681	65	106	476,520	97,688
Binghamton, NY	1,005	54	365	685	17	35	286,154	67,043
Birmingham, AL	7,297	991	2,756	5,027	342	666	1,774,690	364,610
Bismarck, ND	970	80	422	696	43	62	182,581	38,811
Bloomington, IL	394	35	201	298	10	23	160,796	25,937
Blue Island, IL	2,053	308	583	1,318	118	213	670,968	134,483
Boise, ID	1,773	186	848	1,310	95	141	701,166	134,953
Boston, MA	10,239	1,157	2,548	6,393	438	798	4,022,208	782,014
Boulder, CO	640	90	297	468	43	67	267,487	42,093
Bradenton, FL	822	104	342	582	49	76	266,378	82,842
Bridgeport, CT	1,354	132	370	862	65	99	539,133	102,171
Bryan, TX	579	64	317	448	34	49	230,741	32,271
Buffalo, NY	4,713	323	1,228	2,971	95	209	1,090,373	234,541
Burlington, VT	1,743	117	587	1,165	65	91	522,720	104,104
Camden, NJ	6,527	701	2,294	4,410	293	497	2,208,721	489,214
Canton, OH	1,441	209	706	1,073	97	153	495,349	113,936
Cape Girardeau, MO	859	80	398	629	43	62	202,898	45,230
Casper, WY	633	32	378	505	20	26	152,884	31,930
Cedar Rapids, IA	799	44	364	581	22	33	234,872	48,228
Charleston, SC	3,013	329	975	1,994	101	215	914,407	196,315
Charleston, WV	2,620	284	1,167	1,894	97	190	650,209	155,752
Charlotte, NC	4,873	770	1,465	3,169	249	510	2,024,238	353,589
Charlottesville, VA	1,326	155	433	879	35	95	477,802	100,652
Chattanooga, TN	1,928	247	651	1,290	59	153	567,490	121,347
Chicago, IL	7,764	912	3,161	5,462	312	612	2,045,072	306,266
Chico, CA	537	51	153	345	23	37	239,882	53,947
Cincinnati, OH	3,808	567	1,537	2,673	185	376	1,293,436	245,509
Clearwater, FL	1,571	160	719	1,145	44	102	434,821	131,578
Cleveland, OH	7,233	885	2,631	4,932	306	595	1,602,896	353,619
Colorado Springs, CO	1,295	149	555	925	62	106	673,350	119,939
Columbia, MO	1,883	199	901	1,392	77	138	557,924	115,795
Columbia, SC	3,026	398	1,053	2,040	151	275	975,665	189,632
Columbus, GA	1,105	75	547	826	33	54	280,815	48,222
Columbus, OH	6,449	679	2,792	4,620	235	457	2,405,737	441,233
Contra Costa County, CA	1,727	203	675	1,201	81	142	844,608	159,096
Corpus Christi, TX	1,135	167	357	746	38	102	439,951	83,055
Covington, KY	828	93	280	554	39	66	327,040	57,022
Dallas, TX	10,585	1,292	3,679	7,132	450	871	3,918,830	583,050
Danville, PA	1,664	171	510	1,087	33	102	481,423	99,782
Davenport, IA	1,614	139	699	1,157	66	102	379,562	86,153
Dayton, OH	2,070	294	749	1,410	89	192	825,712	177,147
Dearborn, MI	1,439	188	462	951	95	142	382,586	75,636
Denver, CO	5,593	843	2,269	3,931	325	584	2,380,353	379,848
Des Moines, IA	2,760	173	1,193	1,977	76	125	869,785	168,710
Detroit, MI	4,123	509	1,333	2,728	163	336	1,315,527	254,755
Dothan, AL	1,335	108	504	919	33	71	290,096	65,608
Dubuque, IA	518	18	228	373	8	13	125,779	28,314
Duluth, MN	1,319	217	508	914	73	145	274,471	63,578
Durham, NC	4,505	790	1,125	2,815	241	516	1,097,252	224,839
East Long Island, NY	9,897	928	1,230	5,564	235	582	3,811,249	751,403
El Paso, TX	2,086	274	753	1,420	51	162	839,182	146,112
Elgin, IL	1,239	142	475	857	67	104	610,597	100,811
Elmira, NY	1,036	94	361	699	14	54	255,069	58,415
Elyria, OH	453	63	214	333	21	42	200,261	44,042
Erie, PA	1,904	184	706	1,305	88	136	561,138	130,069
Eugene, OR	1,208	138	416	812	64	101	603,572	141,016
Evanston, IL	2,032	332	666	1,349	137	234	711,961	162,705
Evansville, IN	2,154	328	1,050	1,602	157	243	528,945	115,347
Everett, WA	951	83	319	635	26	55	542,404	104,811
Fargo/Moorhead MN, ND	1,872	180	734	1,303	48	114	432,080	90,275
Flint, MI	1,375	161	458	916	58	109	426,480	89,340
Florence, SC	1,248	224	481	865	79	151	287,862	62,812
Fort Collins, CO	704	31	341	523	14	22	287,995	47,223
Fort Lauderdale, FL	7,323	908	2,753	5,038	292	600	2,396,614	619,365
Fort Myers, FL	3,115	268	1,089	2,102	97	182	1,079,022	373,713
Fort Smith, AR	931	87	487	709	55	71	281,971	62,427
Fort Wayne, IN	2,442	376	1,038	1,740	143	259	651,379	132,442
Fort Worth, TX	4,200	501	1,400	2,800	187	344	1,764,292	277,941
Fresno, CA	1,935	205	547	1,241	77	141	918,145	146,620
Gainesville, FL	1,834	303	469	1,152	88	195	464,038	96,829
Gary, IN	1,434	179	638	1,036	95	137	392,167	80,990
Grand Forks, ND	952	31	374	663	18	24	130,084	25,793
Grand Junction, CO	696	75	321	509	33	54	270,519	57,077
Grand Rapids, MI	2,440	236	957	1,699	86	161	933,913	171,359
Great Falls, MT	937	50	367	652	27	39	114,922	25,583
Greeley, CO	792	79	396	594	28	54	294,267	55,594
Green Bay, WI	990	112	498	744	43	77	402,953	88,095
Greensboro, NC	1,224	135	362	793	47	91	505,727	100,544
Greenville, NC	1,977	339	631	1,304	115	227	679,309	136,432
Greenville, SC	2,217	282	798	1,507	41	161	743,619	153,533
Gulfport, MS	609	80	287	448	40	60	159,671	28,559
Hackensack, NJ	3,819	175	1,057	2,438	98	137	1,048,868	200,075
Harlingen, TX	1,145	120	536	840	44	82	418,633	76,061
Harrisburg, PA	2,426	211	929	1,677	61	136	825,408	183,199
Hartford, CT	2,855	323	751	1,803	115	219	1,196,337	245,503
Hattiesburg, MS	1,546	85	504	1,025	30	57	240,419	46,076
Hickory, NC	603	64	253	428	25	45	229,268	51,364
Hinsdale, IL	1,041	172	402	721	89	130	385,733	67,856
Honolulu, HI	2,623	219	795	1,709	73	146	1,114,023	238,126
Houma, LA	707	65	399	553	32	49	206,176	37,957
Houston, TX	14,062	1,790	5,130	9,596	652	1,221	5,278,689	769,270
Hudson, FL	1,188	160	329	758	45	102	351,228	112,737
Huntington, WV	1,561	162	382	971	64	113	276,340	63,341
Huntsville, AL	1,804	248	569	1,187	59	154	506,155	100,153
Idaho Falls, ID	492	44	269	381	24	34	169,856	28,437
Indianapolis, IN	7,441	1,081	3,350	5,396	403	742	2,249,394	412,838
Iowa City, IA	1,414	147	538	976	64	106	279,218	53,012
Jackson, MS	4,425	406	1,964	3,194	149	277	792,834	152,349
Jackson, TN	1,063	115	423	743	57	86	256,100	58,414
Jacksonville, FL	4,947	618	1,625	3,286	183	400	1,340,118	254,567
Johnson City, TN	956	94	342	649	39	66	235,522	51,395
Johnstown, PA	741	44	426	584	25	35	170,816	45,254
Joliet, IL	1,376	149	662	1,019	53	101	516,812	90,546
Jonesboro, AR	975	76	403	689	23	50	185,969	38,518
Joplin, MO	1,045	124	507	776	71	97	282,798	63,826
Kalamazoo, MI	1,462	139	681	1,072	21	80	520,196	104,986
Kansas City, MO	6,736	795	2,646	4,691	286	541	1,950,902	362,250
Kettering, OH	923	138	412	667	42	90	334,281	73,199
Kingsport, TN	1,485	185	668	1,077	75	130	375,852	93,948
Knoxville, TN	3,193	299	1,198	2,195	74	186	1,108,058	250,729
La Crosse, WI	650	78	286	468	44	61	279,590	60,747
Lafayette, IN	457	34	193	325	14	24	199,535	31,824
Lafayette, LA	1,716	188	700	1,208	87	137	477,559	85,840
Lake Charles, LA	830	81	424	627	44	62	210,604	37,934
Lakeland, FL	1,046	103	382	714	57	80	317,384	73,118
Lancaster, PA	1,081	98	468	774	40	69	528,715	112,509
Lansing, MI	1,444	240	632	1,038	115	177	561,636	102,892
Las Vegas, NV	4,165	761	1,088	2,626	162	462	1,704,994	321,669
Lawton, OK	733	76	346	539	32	54	152,745	28,422
Lebanon, NH	939	105	333	636	56	80	320,499	77,792
Lexington, KY	5,045	579	2,073	3,559	172	375	1,192,842	231,348
Lincoln, NE	2,047	116	1,016	1,532	33	75	459,005	93,970
Little Rock, AR	4,854	520	2,174	3,514	177	348	1,212,482	258,840
Longview, TX	224	45	98	161	21	33	161,316	33,367
Los Angeles, CA	19,492	2,415	6,594	13,043	942	1,679	7,874,162	1,268,093
Louisville, KY	4,162	506	1,700	2,931	165	335	1,385,741	271,762
Lubbock, TX	1,811	298	922	1,367	85	191	546,461	91,980
Lynchburg, VA	1,174	55	309	741	20	37	217,344	49,862
Macon, GA	2,295	240	865	1,580	57	149	568,689	111,226
Madison, WI	2,443	267	838	1,640	121	194	886,932	165,619
Manchester, NH	1,603	137	582	1,092	53	95	714,679	143,594
Marquette, MI	601	47	276	438	18	32	159,278	39,415
Marshfield, WI	706	68	281	494	34	51	295,582	70,770
Mason City, IA	470	18	239	354	6	12	100,326	26,837
McAllen, TX	1,938	350	849	1,394	133	241	486,579	74,033
Medford, OR	855	72	369	612	25	49	351,154	95,565
Melrose Park, IL	2,902	334	1,122	2,012	137	236	1,031,510	185,204
Memphis, TN	5,054	543	2,045	3,549	139	341	1,366,198	246,308
Meridian, MS	1,117	57	445	781	19	38	148,060	32,340
Mesa, AZ	2,091	291	648	1,370	108	200	1,135,619	212,738
Metairie, LA	857	111	406	631	44	78	366,346	76,217
Miami, FL	9,139	981	2,952	6,045	280	630	2,741,481	526,396
Milwaukee, WI	5,263	818	2,207	3,735	323	570	2,079,205	380,644
Minneapolis, MN	6,954	612	2,458	4,706	238	425	2,570,355	478,271
Minot, ND	916	19	384	650	9	14	112,434	19,303
Missoula, MT	1,002	79	455	729	39	59	315,091	74,302
Mobile, AL	2,066	282	695	1,380	101	191	648,957	135,227
Modesto, CA	1,478	118	467	972	44	81	680,976	119,559
Monroe, LA	1,064	102	561	813	36	69	204,787	41,070
Montgomery, AL	1,225	131	461	843	61	96	360,863	68,023
Morgantown, WV	1,555	155	499	1,027	40	97	329,288	68,760
Morristown, NJ	1,862	147	589	1,226	54	101	795,142	157,620
Muncie, IN	377	36	129	253	8	22	128,803	27,663
Munster, IN	1,500	105	642	1,071	42	74	239,843	45,234
Muskegon, MI	501	57	253	377	40	49	209,507	45,654
Napa, CA	456	70	152	304	41	56	218,503	53,625
Nashville, TN	7,810	1,118	2,987	5,398	317	717	2,282,662	410,987
Neenah, WI	447	46	262	355	25	35	191,863	39,899
New Brunswick, NJ	2,177	213	616	1,397	126	170	845,392	153,380
New Haven, CT	2,825	286	610	1,717	118	202	1,177,072	244,084
New Orleans, LA	2,491	313	869	1,680	77	195	554,325	92,037
Newark, NJ	3,636	403	1,033	2,334	195	299	1,233,539	198,090
Newport News, VA	905	145	251	578	45	95	447,424	89,385
Norfolk, VA	2,543	276	782	1,663	82	179	1,023,500	174,191
Ocala, FL	902	150	289	596	51	100	449,792	185,054
Odessa, TX	1,014	101	543	779	38	70	283,753	43,182
Ogden, UT	750	110	371	561	42	76	356,000	51,907
Oklahoma City, OK	5,541	582	2,447	3,994	225	404	1,491,485	279,037
Olympia, WA	558	84	173	365	25	54	320,156	71,021
Omaha, NE	4,017	449	1,742	2,879	184	317	1,010,995	195,073
Orange County, CA	5,813	690	2,236	4,024	293	491	2,662,559	456,181
Orlando, FL	10,004	1,284	3,292	6,648	448	866	3,130,935	714,153
Ormond Beach, FL	872	158	359	616	63	110	338,880	108,815
Owensboro, KY	390	36	175	282	14	25	112,038	24,900
Oxford, MS	835	29	344	589	15	22	116,854	21,977
Paducah, KY	1,490	117	779	1,134	57	87	290,227	70,421
Palm Springs/Rancho Mira, CA	974	69	404	689	23	46	305,976	94,312
Paterson, NJ	1,164	84	527	845	12	48	310,775	60,087
Pensacola, FL	2,001	230	755	1,378	91	160	636,854	130,505
Peoria, IL	1,725	156	643	1,184	71	114	469,070	106,095
Petoskey, MI	476	68	178	327	22	45	142,627	37,819
Philadelphia, PA	10,697	1,257	3,634	7,165	546	902	3,331,376	632,032
Phoenix, AZ	6,977	957	2,567	4,772	416	687	2,761,090	532,669
Pittsburgh, PA	8,133	1,079	2,738	5,436	420	749	2,324,172	541,967
Pontiac, MI	911	95	321	616	49	72	376,936	70,983
Portland, ME	2,524	209	710	1,617	92	151	876,231	194,509
Portland, OR	4,684	661	1,737	3,211	278	469	2,215,589	412,976
Providence, RI	2,249	293	690	1,470	82	188	986,702	192,737
Provo, UT	941	122	387	664	52	87	436,975	52,585
Pueblo, CO	615	28	238	426	7	17	138,550	32,449
